2025-04-07 00:28:32.367 | ID: 99 | Cor: AZUL | Tipo: SEDAN | Estação: 1 | Funcionário: 2 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 18
2025-04-07 00:28:32.367 | ID: 98 | Cor: VERDE | Tipo: SUV | Estação: 2 | Funcionário: 2 | Posição na Esteira da Fábrica: 2 | Loja: Loja-2 | Posição na Esteira da Loja: 21
2025-04-07 00:28:32.367 | ID: 96 | Cor: AZUL | Tipo: SUV | Estação: 3 | Funcionário: 3 | Posição na Esteira da Fábrica: 2 | Loja: Loja-1 | Posição na Esteira da Loja: 16
2025-04-07 00:28:32.567 | ID: 100 | Cor: VERMELHO | Tipo: SUV | Estação: 4 | Funcionário: 5 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 18
2025-04-07 00:28:32.867 | ID: 104 | Cor: VERDE | Tipo: SUV | Estação: 1 | Funcionário: 1 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 21
2025-04-07 00:28:32.868 | ID: 103 | Cor: VERMELHO | Tipo: SEDAN | Estação: 2 | Funcionário: 2 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 16
2025-04-07 00:28:32.868 | ID: 101 | Cor: VERDE | Tipo: SEDAN | Estação: 3 | Funcionário: 1 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 19
2025-04-07 00:28:33.069 | ID: 102 | Cor: AZUL | Tipo: SUV | Estação: 4 | Funcionário: 2 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 19
2025-04-07 00:28:33.369 | ID: 106 | Cor: VERMELHO | Tipo: SUV | Estação: 1 | Funcionário: 4 | Posição na Esteira da Fábrica: 2 | Loja: Loja-1 | Posição na Esteira da Loja: 16
2025-04-07 00:28:33.370 | ID: 105 | Cor: AZUL | Tipo: SEDAN | Estação: 2 | Funcionário: 4 | Posição na Esteira da Fábrica: 2 | Loja: Loja-3 | Posição na Esteira da Loja: 20
2025-04-07 00:28:33.370 | ID: 107 | Cor: VERDE | Tipo: SEDAN | Estação: 3 | Funcionário: 4 | Posição na Esteira da Fábrica: 2 | Loja: Loja-2 | Posição na Esteira da Loja: 20
2025-04-07 00:28:33.570 | ID: 108 | Cor: AZUL | Tipo: SUV | Estação: 4 | Funcionário: 5 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 16
2025-04-07 00:28:33.870 | ID: 110 | Cor: VERDE | Tipo: SUV | Estação: 2 | Funcionário: 3 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 21
2025-04-07 00:28:33.871 | ID: 114 | Cor: AZUL | Tipo: SUV | Estação: 1 | Funcionário: 1 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 19
2025-04-07 00:28:33.871 | ID: 109 | Cor: VERMELHO | Tipo: SEDAN | Estação: 3 | Funcionário: 2 | Posição na Esteira da Fábrica: 2 | Loja: Loja-1 | Posição na Esteira da Loja: 16
2025-04-07 00:28:34.071 | ID: 111 | Cor: AZUL | Tipo: SEDAN | Estação: 4 | Funcionário: 3 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 22
2025-04-07 00:28:34.372 | ID: 115 | Cor: VERMELHO | Tipo: SEDAN | Estação: 1 | Funcionário: 4 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 19
2025-04-07 00:28:34.372 | ID: 113 | Cor: VERDE | Tipo: SEDAN | Estação: 2 | Funcionário: 5 | Posição na Esteira da Fábrica: 2 | Loja: Loja-1 | Posição na Esteira da Loja: 16
2025-04-07 00:28:34.372 | ID: 112 | Cor: VERMELHO | Tipo: SUV | Estação: 3 | Funcionário: 4 | Posição na Esteira da Fábrica: 2 | Loja: Loja-3 | Posição na Esteira da Loja: 22
2025-04-07 00:28:34.574 | ID: 116 | Cor: VERDE | Tipo: SUV | Estação: 4 | Funcionário: 1 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 23
2025-04-07 00:28:34.872 | ID: 120 | Cor: AZUL | Tipo: SUV | Estação: 1 | Funcionário: 1 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 17
2025-04-07 00:28:34.874 | ID: 118 | Cor: VERMELHO | Tipo: SUV | Estação: 2 | Funcionário: 4 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 19
2025-04-07 00:28:34.874 | ID: 117 | Cor: AZUL | Tipo: SEDAN | Estação: 3 | Funcionário: 1 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 23
2025-04-07 00:28:35.075 | ID: 122 | Cor: VERDE | Tipo: SUV | Estação: 4 | Funcionário: 3 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 20
2025-04-07 00:28:35.375 | ID: 123 | Cor: AZUL | Tipo: SEDAN | Estação: 1 | Funcionário: 4 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 23
2025-04-07 00:28:35.375 | ID: 119 | Cor: VERDE | Tipo: SEDAN | Estação: 2 | Funcionário: 2 | Posição na Esteira da Fábrica: 2 | Loja: Loja-1 | Posição na Esteira da Loja: 16
2025-04-07 00:28:35.376 | ID: 121 | Cor: VERMELHO | Tipo: SEDAN | Estação: 3 | Funcionário: 4 | Posição na Esteira da Fábrica: 2 | Loja: Loja-2 | Posição na Esteira da Loja: 20
2025-04-07 00:28:35.576 | ID: 124 | Cor: VERMELHO | Tipo: SUV | Estação: 4 | Funcionário: 5 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 24
2025-04-07 00:28:35.875 | ID: 126 | Cor: AZUL | Tipo: SUV | Estação: 1 | Funcionário: 1 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 20
2025-04-07 00:28:35.876 | ID: 128 | Cor: VERDE | Tipo: SUV | Estação: 2 | Funcionário: 5 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 16
