2025-04-07 00:28:38.565 | ID: 152 | Cor: VERDE | Tipo: SUV | Estação: 1 | Funcionário: 1 | Posição na Esteira: 1
2025-04-07 00:28:38.784 | ID: 153 | Cor: AZUL | Tipo: SEDAN | Estação: 2 | Funcionário: 4 | Posição na Esteira: 1
2025-04-07 00:28:38.924 | ID: 154 | Cor: VERMELHO | Tipo: SUV | Estação: 1 | Funcionário: 4 | Posição na Esteira: 1
2025-04-07 00:28:38.998 | ID: 155 | Cor: VERDE | Tipo: SEDAN | Estação: 2 | Funcionário: 2 | Posição na Esteira: 1
2025-04-07 00:28:39.099 | ID: 156 | Cor: AZUL | Tipo: SUV | Estação: 3 | Funcionário: 1 | Posição na Esteira: 2
2025-04-07 00:28:39.206 | ID: 157 | Cor: VERMELHO | Tipo: SEDAN | Estação: 4 | Funcionário: 2 | Posição na Esteira: 2
2025-04-07 00:28:39.264 | ID: 158 | Cor: VERDE | Tipo: SUV | Estação: 3 | Funcionário: 4 | Posição na Esteira: 3
2025-04-07 00:28:39.519 | ID: 159 | Cor: AZUL | Tipo: SEDAN | Estação: 1 | Funcionário: 1 | Posição na Esteira: 1
2025-04-07 00:28:39.694 | ID: 160 | Cor: VERMELHO | Tipo: SUV | Estação: 2 | Funcionário: 4 | Posição na Esteira: 1
2025-04-07 00:28:39.754 | ID: 161 | Cor: VERDE | Tipo: SEDAN | Estação: 4 | Funcionário: 4 | Posição na Esteira: 2
2025-04-07 00:28:39.794 | ID: 162 | Cor: AZUL | Tipo: SUV | Estação: 1 | Funcionário: 4 | Posição na Esteira: 2
2025-04-07 00:28:40.115 | ID: 163 | Cor: VERMELHO | Tipo: SEDAN | Estação: 3 | Funcionário: 2 | Posição na Esteira: 2
2025-04-07 00:28:40.135 | ID: 164 | Cor: VERDE | Tipo: SUV | Estação: 2 | Funcionário: 1 | Posição na Esteira: 1
2025-04-07 00:28:40.225 | ID: 165 | Cor: AZUL | Tipo: SEDAN | Estação: 4 | Funcionário: 1 | Posição na Esteira: 2
2025-04-07 00:28:40.404 | ID: 166 | Cor: VERMELHO | Tipo: SUV | Estação: 3 | Funcionário: 5 | Posição na Esteira: 2
2025-04-07 00:28:40.511 | ID: 167 | Cor: VERDE | Tipo: SEDAN | Estação: 1 | Funcionário: 1 | Posição na Esteira: 1
2025-04-07 00:28:40.855 | ID: 168 | Cor: AZUL | Tipo: SUV | Estação: 1 | Funcionário: 3 | Posição na Esteira: 2
2025-04-07 00:28:40.866 | ID: 169 | Cor: VERMELHO | Tipo: SEDAN | Estação: 2 | Funcionário: 3 | Posição na Esteira: 1
2025-04-07 00:28:40.880 | ID: 170 | Cor: VERDE | Tipo: SUV | Estação: 4 | Funcionário: 3 | Posição na Esteira: 2
2025-04-07 00:28:41.061 | ID: 171 | Cor: AZUL | Tipo: SEDAN | Estação: 3 | Funcionário: 3 | Posição na Esteira: 2
2025-04-07 00:28:41.137 | ID: 172 | Cor: VERMELHO | Tipo: SUV | Estação: 2 | Funcionário: 5 | Posição na Esteira: 1
2025-04-07 00:28:41.248 | ID: 173 | Cor: VERDE | Tipo: SEDAN | Estação: 4 | Funcionário: 1 | Posição na Esteira: 2
2025-04-07 00:28:41.442 | ID: 174 | Cor: AZUL | Tipo: SUV | Estação: 3 | Funcionário: 5 | Posição na Esteira: 2
2025-04-07 00:28:41.579 | ID: 175 | Cor: VERMELHO | Tipo: SEDAN | Estação: 1 | Funcionário: 5 | Posição na Esteira: 1
2025-04-07 00:28:41.664 | ID: 176 | Cor: VERDE | Tipo: SUV | Estação: 4 | Funcionário: 4 | Posição na Esteira: 2
2025-04-07 00:28:42.086 | ID: 177 | Cor: AZUL | Tipo: SEDAN | Estação: 1 | Funcionário: 2 | Posição na Esteira: 1
2025-04-07 00:28:42.110 | ID: 178 | Cor: VERMELHO | Tipo: SUV | Estação: 2 | Funcionário: 2 | Posição na Esteira: 1
2025-04-07 00:28:42.142 | ID: 179 | Cor: VERDE | Tipo: SEDAN | Estação: 4 | Funcionário: 2 | Posição na Esteira: 2
2025-04-07 00:28:42.196 | ID: 180 | Cor: AZUL | Tipo: SUV | Estação: 3 | Funcionário: 2 | Posição na Esteira: 2
2025-04-07 00:28:42.299 | ID: 181 | Cor: VERMELHO | Tipo: SEDAN | Estação: 2 | Funcionário: 5 | Posição na Esteira: 2
2025-04-07 00:28:42.424 | ID: 182 | Cor: VERDE | Tipo: SUV | Estação: 3 | Funcionário: 4 | Posição na Esteira: 2
2025-04-07 00:28:42.614 | ID: 183 | Cor: AZUL | Tipo: SEDAN | Estação: 4 | Funcionário: 4 | Posição na Esteira: 2
2025-04-07 00:28:42.970 | ID: 184 | Cor: VERMELHO | Tipo: SUV | Estação: 1 | Funcionário: 4 | Posição na Esteira: 1
2025-04-07 00:28:42.989 | ID: 185 | Cor: VERDE | Tipo: SEDAN | Estação: 2 | Funcionário: 2 | Posição na Esteira: 1
2025-04-07 00:28:43.135 | ID: 186 | Cor: AZUL | Tipo: SUV | Estação: 4 | Funcionário: 2 | Posição na Esteira: 2
2025-04-07 00:28:43.164 | ID: 187 | Cor: VERMELHO | Tipo: SEDAN | Estação: 1 | Funcionário: 1 | Posição na Esteira: 2
2025-04-07 00:28:43.324 | ID: 188 | Cor: VERDE | Tipo: SUV | Estação: 2 | Funcionário: 4 | Posição na Esteira: 2
2025-04-07 00:28:43.346 | ID: 189 | Cor: AZUL | Tipo: SEDAN | Estação: 3 | Funcionário: 1 | Posição na Esteira: 2
2025-04-07 00:28:43.686 | ID: 190 | Cor: VERMELHO | Tipo: SUV | Estação: 3 | Funcionário: 3 | Posição na Esteira: 2
2025-04-07 00:28:43.869 | ID: 191 | Cor: VERDE | Tipo: SEDAN | Estação: 4 | Funcionário: 4 | Posição na Esteira: 2
2025-04-07 00:28:43.922 | ID: 192 | Cor: AZUL | Tipo: SUV | Estação: 1 | Funcionário: 4 | Posição na Esteira: 1
